date,surfaces,pass_surfaces,pass_share,mean_rmse_total_variance,max_theta_projection_abs
2013-03-01,100,100,1.0,0.31238130307110323,1.482743657632568e-06
2013-04-01,100,100,1.0,0.23829738911706275,5.910236051676065e-07
2013-05-01,100,100,1.0,0.38986325094641017,3.515276341570228e-06
2013-06-01,100,100,1.0,0.363940269421391,1.2072900044568513e-05
2013-07-01,100,100,1.0,0.3873698233635181,5.88887563468532e-06
2013-08-01,100,100,1.0,0.2743258166432899,3.6019154419086874e-06
2013-09-01,100,100,1.0,0.30036257134147015,2.109119148885341e-06
2013-10-01,100,100,1.0,0.39951028346012213,3.299179639704164e-06
2013-11-01,100,100,1.0,0.43151571167895564,7.0191233552119314e-06
2013-12-01,100,100,1.0,0.24903968085541134,2.8139786175662707e-06
2014-01-01,100,100,1.0,0.3593835756179592,3.274569023048457e-06
2014-02-01,100,100,1.0,0.25867220404732394,3.130231011949647e-06
2014-03-01,100,100,1.0,0.30464393819810853,1.1185693193027646e-05
2014-04-01,100,100,1.0,0.18152401211304206,5.3280043892378615e-06
2014-05-01,100,100,1.0,0.2245726661341273,1.6895660889804098e-06
2014-06-01,100,100,1.0,0.31386320786380173,2.1597259998173968e-06
2014-07-01,100,100,1.0,0.3671597596239591,2.3036464980030757e-06
2014-08-01,100,100,1.0,0.2809201100563009,2.651737025072265e-06
2014-09-01,100,100,1.0,0.3089644196557413,2.5389643035222953e-06
2014-10-01,100,100,1.0,0.3005070153259547,2.8420584148314276e-06
2014-11-01,100,100,1.0,0.2776176632776178,1.5639860246885462e-06
2014-12-01,100,100,1.0,0.3362913533843653,3.7004941280116554e-06
2015-01-01,100,100,1.0,0.3296614529811901,2.514243987228326e-06
2015-02-01,100,100,1.0,0.2583133078732229,3.151428273673318e-06
2015-03-01,100,100,1.0,0.3189077089553494,7.944923002600746e-06
2015-04-01,100,100,1.0,0.2976498235425425,2.4648437051411065e-06
2015-05-01,100,100,1.0,0.28281915786060774,1.119736116272918e-06
2015-06-01,100,100,1.0,0.26381469424071946,1.989587381734381e-06
2015-07-01,100,100,1.0,0.24885024737167646,5.726931761262932e-06
2015-08-01,100,100,1.0,0.2881352463077141,1.6684220689455742e-06
2015-09-01,100,100,1.0,0.18985260299927564,9.58555941066308e-07
2015-10-01,100,100,1.0,0.2963986177443831,4.084080079458374e-06
2015-11-01,100,100,1.0,0.2417420476861171,4.364080902874434e-06
2015-12-01,100,100,1.0,0.29417856720889113,3.679336919581999e-06
2016-01-01,100,100,1.0,0.13750881675340845,2.6397129137545328e-06
2016-02-01,100,100,1.0,0.30631254626644816,5.172331873026792e-06
2016-03-01,100,100,1.0,0.3056776268921589,1.5281517198317829e-06
2016-04-01,100,100,1.0,0.3424467537233498,1.908845751685817e-06
2016-05-01,100,100,1.0,0.2655698665141649,1.8960489782671175e-06
2016-06-01,100,100,1.0,0.1406012759439658,1.0585525718198596e-06
2016-07-01,100,100,1.0,0.2172972723804667,2.6685301812712225e-06
2016-08-01,100,100,1.0,0.2772557726595933,3.851052112868736e-06
2016-09-01,100,100,1.0,0.2356738098771141,1.6409738923250927e-06
2016-10-01,100,100,1.0,0.25661777304773464,1.2375921021323677e-06
2016-11-01,100,100,1.0,0.34729816101456057,1.913650968798919e-06
2016-12-01,100,100,1.0,0.31044102415447067,2.9065029432118195e-06
2017-01-01,100,100,1.0,0.2120814706911217,2.689001496358756e-06
2017-02-01,100,100,1.0,0.2903072170052709,3.7722609957935305e-06
2017-03-01,100,100,1.0,0.28568725431188,7.574410486266281e-06
2017-04-01,100,100,1.0,0.3018396988860312,4.611749632399409e-06
2017-05-01,100,100,1.0,0.2269332185384495,7.137887962027634e-06
2017-06-01,100,100,1.0,0.24405303126637137,2.0564552141166814e-06
2017-07-01,100,100,1.0,0.3525409128985161,2.728124561812706e-06
2017-08-01,100,100,1.0,0.27535680310956845,2.6514479798400714e-06
2017-09-01,100,100,1.0,0.2923638944333478,2.2022346080063926e-06
2017-10-01,100,100,1.0,0.3225336375753195,9.755138035139055e-07
2017-11-01,100,100,1.0,0.3620649756962131,3.762801491058454e-06
2017-12-01,100,100,1.0,0.3835375420465425,4.5928789775828704e-06
2018-01-01,100,100,1.0,0.3146120365110716,1.7607124811469532e-06
2018-02-01,100,100,1.0,0.3368087375990592,2.7196915997063087e-06
2018-03-01,100,100,1.0,0.2602952155029527,2.323581829610788e-06
2018-04-01,100,100,1.0,0.34384946019539464,1.8329713808995507e-06
2018-05-01,100,100,1.0,0.27783803186738704,4.129801492114282e-06
2018-06-01,100,100,1.0,0.30401747926079237,4.3775560727432605e-06
2018-07-01,100,100,1.0,0.323840965287255,2.489934548322026e-06
2018-08-01,100,100,1.0,0.2660621483211624,1.979576236710301e-06
2018-09-01,100,100,1.0,0.27639371114210126,2.60344624125608e-06
2018-10-01,100,100,1.0,0.3669294551374589,2.703311990925883e-06
2018-11-01,100,100,1.0,0.22749826855805114,2.204288738205662e-06
2018-12-01,100,100,1.0,0.10148332026384865,1.052286649538825e-06
2019-01-01,100,100,1.0,0.26257499108411314,1.847225995277313e-06
2019-02-01,100,100,1.0,0.2378199027199784,4.611561813305798e-06
2019-03-01,100,100,1.0,0.20333070508116877,2.6378180897346226e-06
2019-04-01,100,100,1.0,0.2928205396565581,1.8981676455087637e-06
2019-05-01,100,100,1.0,0.22746657500570977,1.246609862004533e-06
2019-06-01,100,100,1.0,0.19775639951063012,2.63535421796135e-06
2019-07-01,100,100,1.0,0.304598478370061,2.972839243664538e-06
2019-08-01,100,100,1.0,0.2074997946539022,6.6739518445047e-07
2019-09-01,100,100,1.0,0.20279477718097752,1.85910317407334e-06
2019-10-01,100,100,1.0,0.1460686452766414,3.1010772125750208e-06
2019-11-01,100,100,1.0,0.24675309811170065,3.0302558426953397e-06
2019-12-01,100,100,1.0,0.2286974263797816,1.8554378629076496e-06
2020-01-01,100,100,1.0,0.20714971037046767,3.954826925500754e-06
2020-02-01,100,100,1.0,0.10757881253647669,6.668325181147239e-06
2020-03-01,100,100,1.0,0.17418570494247493,6.356170616728107e-06
2020-04-01,100,100,1.0,0.2753935403973347,2.675875993229937e-06
2020-05-01,100,100,1.0,0.27939292194390636,6.128112828740484e-06
2020-06-01,100,100,1.0,0.2418967995931413,2.339179286936499e-06
2020-07-01,100,100,1.0,0.2755765660694723,1.548359075786987e-06
2020-08-01,100,100,1.0,0.35359374692225315,3.369313865242418e-06
2020-09-01,100,100,1.0,0.3868756402721604,4.3126836883899955e-06
2020-10-01,100,100,1.0,0.20316207244009032,2.107841075016381e-06
2020-11-01,100,100,1.0,0.21317241787226046,5.1203789361853325e-06
2020-12-01,100,100,1.0,0.3081588106073552,3.4547265215234546e-06
2021-01-01,100,100,1.0,0.4381949805293617,2.4612139624125007e-06
2021-02-01,100,100,1.0,0.45993298345740613,2.465771538062711e-06
2021-03-01,100,100,1.0,0.35363741474438326,3.546221525096982e-06
2021-04-01,100,100,1.0,0.27040707113737844,4.0331727344522506e-06
2021-05-01,100,100,1.0,0.27286986924165196,3.3097529745784726e-06
2021-06-01,100,100,1.0,0.26230326761969097,4.751881537146119e-06
2021-07-01,100,100,1.0,0.22577436319793492,8.614156233877068e-06
2021-08-01,100,100,1.0,0.22899327275138526,1.5178562953188646e-06
2021-09-01,100,100,1.0,0.32691171914707917,2.5348474190778347e-06
2021-10-01,100,100,1.0,0.2629789388569817,2.0047107427423327e-06
2021-11-01,100,100,1.0,0.37336384893924063,3.7753210664348558e-06
2021-12-01,100,100,1.0,0.2787162685006208,3.149290019432982e-06
2022-01-01,100,100,1.0,0.11788581016342847,3.091166465685191e-06
2022-02-01,100,100,1.0,0.13063589753367058,4.171139905029264e-06
2022-03-01,100,100,1.0,0.31286972375869043,2.3479516979563186e-06
2022-04-01,100,100,1.0,0.2119857679838832,1.6190169577212643e-06
2022-05-01,100,100,1.0,0.20130827558210457,9.950628238275527e-06
2022-06-01,100,100,1.0,0.08416078871826257,1.1014777975271173e-06
2022-07-01,100,100,1.0,0.20212223811547048,3.4259207501996514e-06
2022-08-01,100,100,1.0,0.35147859484347327,6.453201552902854e-06
2022-09-01,100,100,1.0,0.21488008980552092,2.2089677957914944e-06
2022-10-01,100,100,1.0,0.2115971217042632,5.924691408587535e-06
2022-11-01,100,100,1.0,0.11172466636405115,1.847856396786085e-06
2022-12-01,100,100,1.0,0.10570763489311778,3.1733570304837144e-06
2023-01-01,100,100,1.0,0.14448846490866576,2.1822742042321153e-06
2023-02-01,100,100,1.0,0.2757797666991785,5.4136591498554765e-06
2023-03-01,100,100,1.0,0.1332066112692801,2.0186293196999827e-06
2023-04-01,100,100,1.0,0.1285528446139787,1.7192773247298732e-06
2023-05-01,100,100,1.0,0.22688720768460047,1.6377036655690347e-06
2023-06-01,100,100,1.0,0.2082701612856109,3.651943996096918e-06
2023-07-01,100,100,1.0,0.17269016951091942,2.6873742280386637e-06
2023-08-01,100,100,1.0,0.1958238334949815,1.2103605884217217e-06
2023-09-01,100,100,1.0,0.20188463049538824,6.67209834270821e-06
2023-10-01,100,100,1.0,0.1467064309980798,9.613684048837001e-07
2023-11-01,100,100,1.0,0.2577144096284826,3.4487463915766625e-06
2023-12-01,100,100,1.0,0.28241281691498504,2.5868586366328827e-06
2024-01-01,100,100,1.0,0.29008311421546845,4.646497153260043e-06
2024-02-01,100,100,1.0,0.24344037133422333,2.1129794698371285e-06
2024-03-01,100,100,1.0,0.2793717619536586,3.881496272173379e-06
2024-04-01,100,100,1.0,0.3426827150104713,3.3926081750568216e-06
2024-05-01,100,100,1.0,0.16586440057953383,1.9613922175309995e-06
2024-06-01,100,100,1.0,0.1968741701526221,5.512734885027015e-06
2024-07-01,100,100,1.0,0.1967860326505037,8.082644871620914e-06
2024-08-01,100,100,1.0,0.22032414685983842,6.56839235047002e-06
2024-09-01,100,100,1.0,0.2577766890339412,8.273267604774759e-06
2024-10-01,100,100,1.0,0.32175679072123775,8.111141087674412e-07
2024-11-01,100,100,1.0,0.37513831745005954,1.4141370892506444e-05
2024-12-01,100,100,1.0,0.2570046128406621,4.28136505248311e-06
