date,gross_return,n_positions,n_long,n_short,return_coverage,turnover,fixed_cost,spread_cost,total_cost,net_return
2007-10-31,-0.04426156637885923,391,196,195,1.0,1.9487179487179485,0.0019487179487179486,0.0,0.0019487179487179486,-0.04621028432757718
2007-11-30,0.0021741753926701577,382,191,191,1.0,1.9897697540554684,0.0019897697540554684,0.0,0.0019897697540554684,0.00018440563861468924
2007-12-31,-0.0008563630338936357,381,191,190,1.0,0.9319371727748691,0.0009319371727748692,0.0,0.0009319371727748692,-0.0017883002066685048
2008-01-31,-0.007756898941981483,373,187,186,1.0,1.900027555800496,0.001900027555800496,0.0,0.001900027555800496,-0.009656926497781979
2008-02-29,0.025252034312573442,369,185,184,1.0,1.9140072451267898,0.0019140072451267899,0.0,0.0019140072451267899,0.023338027067446653
2008-03-31,0.002371744310334473,365,183,182,1.0,1.1213572267920093,0.0011213572267920093,0.0,0.0011213572267920093,0.0012503870835424635
2008-04-30,0.026131591179889568,371,186,185,1.0,1.5567567567567568,0.001556756756756757,0.0,0.001556756756756757,0.02457483442313281
2008-05-30,0.037754574468085104,376,188,188,1.0,1.5372340425531916,0.0015372340425531916,0.0,0.0015372340425531916,0.036217340425531916
2008-06-30,-0.001265576786473195,363,182,181,1.0,1.9680851063829787,0.001968085106382979,0.0,0.001968085106382979,-0.003233661892856174
2008-07-31,-0.004493050411280844,369,185,184,1.0,1.6749412455934198,0.0016749412455934198,0.0,0.0016749412455934198,-0.006167991656874264
2008-08-29,0.03290553188644897,375,188,187,1.0,1.6577824553419047,0.0016577824553419048,0.0,0.0016577824553419048,0.031247749431107065
2008-09-30,-0.02963989760791696,363,182,181,1.0,1.631016042780749,0.001631016042780749,0.0,0.001631016042780749,-0.03127091365069771
2008-10-31,0.0035245093918048875,325,163,162,1.0,1.6524801165685141,0.0016524801165685142,0.0,0.0016524801165685142,0.0018720292752363733
2008-11-28,-0.017671574507750316,309,155,154,1.0,1.6298947208967658,0.001629894720896766,0.0,0.001629894720896766,-0.019301469228647082
2008-12-31,-0.006344548113207548,319,160,159,1.0,1.9123034591194967,0.0019123034591194967,0.0,0.0019123034591194967,-0.008256851572327044
2009-01-30,-0.03809569736842105,304,152,152,1.0,1.5801100628930815,0.0015801100628930816,0.0,0.0015801100628930816,-0.03967580743131413
2009-02-27,-0.0372969378591954,289,145,144,1.0,1.7960526315789473,0.0017960526315789474,0.0,0.0017960526315789474,-0.039092990490774346
2009-03-31,-0.1745221260264901,301,151,150,1.0,1.448476821192053,0.001448476821192053,0.0,0.001448476821192053,-0.17597060284768215
2009-04-30,-0.05154755558019217,329,165,164,1.0,1.1731337767923133,0.0011731337767923134,0.0,0.0011731337767923134,-0.05272068935698448
2009-05-29,-0.014452829537353865,335,168,167,1.0,1.6477045908183632,0.0016477045908183633,0.0,0.0016477045908183633,-0.01610053412817223
2009-06-30,0.01415736498433693,339,170,169,1.0,1.4575008701705534,0.0014575008701705535,0.0,0.0014575008701705535,0.012699864114166376
2009-07-31,-0.035019270916650795,355,178,177,1.0,1.67237986415286,0.00167237986415286,0.0,0.00167237986415286,-0.03669165078080366
2009-08-31,-0.02818473118477594,361,181,180,1.0,1.3127378759975445,0.0013127378759975445,0.0,0.0013127378759975445,-0.029497469060773482
2009-09-30,0.005702635869565219,367,184,183,1.0,1.836511047754811,0.001836511047754811,0.0,0.001836511047754811,0.0038661248218104073
2009-10-30,-0.010043963966480447,359,180,179,1.0,1.716440959847945,0.0017164409598479451,0.0,0.0017164409598479451,-0.011760404926328393
2009-11-30,0.0336513355679702,359,180,179,1.0,1.9109559279950343,0.0019109559279950343,0.0,0.0019109559279950343,0.03174037963997517
2009-12-31,-0.0233709753801378,367,184,183,1.0,1.559455927773818,0.001559455927773818,0.0,0.001559455927773818,-0.024930431307911616
2010-01-29,-0.005257751001760668,363,182,181,1.0,1.6128534093608933,0.0016128534093608933,0.0,0.0016128534093608933,-0.006870604411121561
2010-02-26,0.02815791589451176,367,184,183,1.0,1.8581313851271084,0.0018581313851271084,0.0,0.0018581313851271084,0.02629978450938465
2010-03-31,0.020909880674707018,375,188,187,1.0,1.3115542154966435,0.0013115542154966435,0.0,0.0013115542154966435,0.019598326459210374
2010-04-30,0.02882395897414922,383,192,191,1.0,1.9322371291448517,0.0019322371291448518,0.0,0.0019322371291448518,0.02689172184500437
2010-05-28,0.05190305363238138,375,188,187,1.0,1.5404123036649215,0.0015404123036649217,0.0,0.0015404123036649217,0.050362641328716456
2010-06-30,-0.028958565024554947,361,181,180,1.0,1.5300659915803845,0.0015300659915803846,0.0,0.0015300659915803846,-0.03048863101613533
2010-07-30,-0.01089168306010929,366,183,183,1.0,1.7759562841530054,0.0017759562841530056,0.0,0.0017759562841530056,-0.012667639344262295
2010-08-31,0.010254354921032355,353,177,176,1.0,1.3278688524590163,0.0013278688524590164,0.0,0.0013278688524590164,0.008926486068573339
2010-09-30,-0.007748535519125683,366,183,183,1.0,1.6666666666666665,0.0016666666666666666,0.0,0.0016666666666666666,-0.00941520218579235
2010-10-29,0.02053111623074688,371,186,185,1.0,1.945945945945946,0.001945945945945946,0.0,0.001945945945945946,0.01858517028480093
2010-11-30,0.036040598048697234,375,188,187,1.0,1.157099783820685,0.001157099783820685,0.0,0.001157099783820685,0.03488349826487655
2010-12-31,0.007880487367127825,387,194,193,1.0,1.8707334009935368,0.0018707334009935368,0.0,0.0018707334009935368,0.0060097539661342885
2011-01-31,0.004114197725785338,383,192,191,1.0,1.7567704716628385,0.0017567704716628385,0.0,0.0017567704716628385,0.0023574272541224996
2011-02-28,0.016292060071371926,389,195,194,1.0,1.897145122918319,0.001897145122918319,0.0,0.001897145122918319,0.014394914948453607
2011-03-31,0.006395627081681205,389,195,194,1.0,1.6611948189267776,0.0016611948189267777,0.0,0.0016611948189267777,0.004734432262754428
2011-04-29,0.02797744242543171,391,196,195,1.0,1.693040293040293,0.001693040293040293,0.0,0.001693040293040293,0.026284402132391416
2011-05-31,-0.011914742268445837,391,196,195,1.0,1.994871794871795,0.0019948717948717947,0.0,0.0019948717948717947,-0.013909614063317633
2011-06-30,-0.001219422891884749,389,195,194,1.0,1.759811616954474,0.001759811616954474,0.0,0.001759811616954474,-0.0029792345088392232
2011-07-29,0.04480676949751727,385,193,192,1.0,1.7941052075072692,0.0017941052075072692,0.0,0.0017941052075072692,0.043012664290009994
2011-08-31,0.06487453227513228,379,190,189,1.0,1.5009175302245252,0.0015009175302245254,0.0,0.0015009175302245254,0.06337361474490776
2011-09-30,-0.048560179724971154,363,182,181,1.0,1.4136730715678083,0.0014136730715678084,0.0,0.0014136730715678084,-0.049973852796538966
2011-10-31,-0.008373605243161093,377,189,188,1.0,1.9045367556005852,0.0019045367556005852,0.0,0.0019045367556005852,-0.010278141998761679
2011-11-30,-0.009243331550802139,374,187,187,1.0,1.2516041877744004,0.0012516041877744005,0.0,0.0012516041877744005,-0.010494935738576539
2011-12-30,0.031716655037546934,375,188,187,1.0,1.6107065650244623,0.0016107065650244623,0.0,0.0016107065650244623,0.030105948472522473
2012-01-31,-0.0008835050038176281,383,192,191,1.0,1.9112401832460733,0.0019112401832460733,0.0,0.0019112401832460733,-0.0027947451870637013
2012-02-29,0.02154988559391361,383,192,191,1.0,1.827525087260035,0.0018275250872600351,0.0,0.0018275250872600351,0.019722360506653575
2012-03-30,-0.019674241323942143,385,193,192,1.0,1.84375,0.0018437500000000001,0.0,0.0018437500000000001,-0.021517991323942144
2012-04-30,0.0541314283649651,383,192,191,1.0,1.90625,0.00190625,0.0,0.00190625,0.052225178364965104
2012-05-31,-0.010273990001706677,375,188,187,1.0,1.1851548865619543,0.0011851548865619544,0.0,0.0011851548865619544,-0.011459144888268631
2012-06-29,0.020869119137503445,381,191,190,1.0,1.2756406723615321,0.001275640672361532,0.0,0.001275640672361532,0.019593478465141912
2012-07-31,0.013101309031295732,377,189,188,1.0,1.9422981537613666,0.0019422981537613666,0.0,0.0019422981537613666,0.011159010877534365
2012-08-31,-0.013070361256544502,381,191,190,1.0,1.612041884816754,0.001612041884816754,0.0,0.001612041884816754,-0.014682403141361256
2012-09-28,-0.0047898410640270506,383,192,191,1.0,1.7907940663176265,0.0017907940663176266,0.0,0.0017907940663176266,-0.006580635130344677
2012-10-31,0.001362541462150959,383,192,191,1.0,1.9321825916230368,0.001932182591623037,0.0,0.001932182591623037,-0.0005696411294720779
2012-11-30,-0.003043635376187391,385,193,192,1.0,1.8961571675302245,0.0018961571675302246,0.0,0.0018961571675302246,-0.004939792543717615
2012-12-31,0.0055631352547495716,385,193,192,1.0,1.7558829879101898,0.00175588298791019,0.0,0.00175588298791019,0.003807252266839382
2013-01-31,0.0034307846394903137,393,197,196,1.0,1.944032943126489,0.001944032943126489,0.0,0.001944032943126489,0.0014867516963638246
2013-02-28,0.0011066090659340641,391,196,195,1.0,1.597741634724956,0.001597741634724956,0.0,0.001597741634724956,-0.0004911325687908918
2013-03-28,-0.028014586486694356,395,198,197,1.0,1.7570373788647902,0.0017570373788647902,0.0,0.0017570373788647902,-0.029771623865559146
2013-04-30,-0.004926651156716418,401,201,200,1.0,1.7652487562189054,0.0017652487562189055,0.0,0.0017652487562189055,-0.006691899912935324
2013-05-31,-0.02115218317790531,409,205,204,1.0,1.2031563845050215,0.0012031563845050215,0.0,0.0012031563845050215,-0.022355339562410332
2013-06-28,0.014820489311334291,409,205,204,1.0,1.6091822094691535,0.0016091822094691534,0.0,0.0016091822094691534,0.013211307101865138
2013-07-31,-0.001606282487023246,421,211,210,1.0,1.7293387497178965,0.0017293387497178965,0.0,0.0017293387497178965,-0.0033356212367411427
2013-08-30,-0.004521553987240826,419,210,209,1.0,1.6819002482509593,0.0016819002482509593,0.0,0.0016819002482509593,-0.006203454235491785
