date,feature,integrated_gradient
2024-04-01,surface_ae_06,-0.00011118678958155215
2024-04-01,surface_ae_07,-0.0005020317039452493
2024-04-01,surface_ae_08,6.34928946965374e-05
2024-04-01,surface_ae_09,0.000464963901322335
2024-04-01,surface_ae_10,0.0002940899576060474
2024-04-01,surface_ae_11,-0.00020195331308059394
2024-04-01,surface_ae_12,-0.0007791666430421174
2024-04-01,market_equity,0.0001451398420613259
2024-04-01,log_market_equity,0.00018475265824235976
2024-04-01,turnover,-0.000131606895592995
2024-04-01,log_dollar_volume,0.00010073789599118754
2024-04-01,short_reversal,2.6226072805002332e-05
2024-04-01,momentum_12_2,7.986475975485519e-05
2024-04-01,momentum_6_1,0.00019092186994384974
2024-04-01,momentum_36_13,-0.00026894229813478887
2024-04-01,realized_vol_12m,0.0001428868854418397
2024-04-01,amihud_illiq_12m,-6.475202667388658e-07
2024-04-01,max_ret_12m,-6.742997356923297e-05
2024-04-01,ret_skew_12m,8.115771925076842e-05
2024-04-01,zero_volume_12m,0.0
2024-04-01,price,0.0004418457392603159
2024-04-01,book_to_market_comp,3.0453800718532875e-05
2024-04-01,gross_profitability,0.00012094901467207819
2024-04-01,operating_profitability,-9.882623999146745e-05
2024-04-01,roe,0.00011438235378591344
2024-04-01,leverage,2.3673703708482208e-06
2024-04-01,capex_at,-6.423260856536217e-06
2024-04-01,accruals_at,-4.708098276751116e-05
2024-04-01,cashflow_accruals_at,-0.00021593361452687532
2024-04-01,investment,-4.068719135830179e-05
2024-04-01,asset_growth,-5.9510428400244564e-05
2024-04-01,sales_growth,-1.1096647540398408e-05
2024-04-01,cash_at,0.0005690069519914687
2024-04-01,cashflow_at,-0.0006320305401459336
2024-04-01,net_working_capital_at,0.000225567608140409
2024-04-01,profit_margin,8.942322892835364e-05
2024-04-01,sales_at,-4.0858532884158194e-05
2024-04-01,debt_growth,9.407255856785923e-05
2024-04-01,equity_issuance,-0.00018393193022347987
2024-04-01,earnings_to_price,2.792667510220781e-05
2024-04-01,beta_252d,-0.0005682521732524037
2024-04-01,idio_vol_252d,-0.00022809274378232658
2024-04-01,total_vol_252d,-0.0006182541837915778
2024-04-01,mkt_corr_252d,-8.53194433148019e-05
2024-04-01,taq_half_spread,-3.192638905602507e-05
2024-04-01,taq_intraday_vol,0.00013372405373957008
2024-04-01,taq_dollar_volume,7.434467261191458e-05
2024-04-01,ibes_analyst_coverage,-0.00020302121993154287
2024-04-01,ibes_forecast_dispersion,0.00013900235353503376
2024-04-01,ibes_revision_breadth,5.639757546305191e-06
2024-04-01,ibes_mean_estimate,-0.0006751313921995461
2024-04-01,vix_eom,4.093623283552006e-05
2024-04-01,vix_mean,0.0005384558462537825
2024-04-01,vix_realized_state_vol,4.785646160598844e-05
2024-04-01,vix_change,0.00028494081925600767
2024-04-01,vxo_eom,0.00010441132326377556
2024-04-01,vxn_eom,0.0003100218891631812
2024-04-01,vxd_eom,5.026009603170678e-05
2024-04-01,baa_aaa_spread,-0.00010293868399458006
2024-04-01,mktrf,1.839450305851642e-05
2024-04-01,smb,-0.00030684060766361654
2024-04-01,hml,1.398334643454291e-05
2024-04-01,rmw,-0.0001503058010712266
2024-04-01,cma,0.00025747859035618603
2024-04-01,umd,-9.590070112608373e-05
2024-04-01,fred_unrate,0.0006725442945025861
2024-04-01,fred_cpi_yoy,-0.0006707689026370645
2024-04-01,fred_indpro_yoy,5.280363984638825e-05
2024-04-01,fred_dgs10,4.393505150801502e-06
2024-04-01,fred_dgs2,-9.795795631362125e-05
2024-04-01,fred_10y2y_spread,-0.0003091877151746303
2024-04-01,fred_t10y3m,-1.0073642442876007e-05
2024-04-01,fred_nfci,1.1950879752475885e-06
2024-04-01,bls_unrate,0.00016545207472518086
2024-04-01,bls_avg_hourly_earnings,-0.0018688456621021032
2024-04-01,bls_cpi_u_yoy,-5.459180101752281e-05
