date,fold,hml,conditional_sdf_payoff
2016-05-31,6,0.025193682177787436,0.06505517661456672
2016-06-30,6,-0.047498375586854456,-0.18242112433987853
2016-07-29,6,-0.003360795025839792,-0.009842215945958601
2016-08-31,6,-0.053955534474590866,-0.20623272179281005
2016-09-30,6,0.09130581573161968,0.33990986605023876
2016-10-31,6,0.0031471007853977606,0.010622947633077133
2016-11-30,6,0.05045033224526369,0.09001863383865454
2016-12-30,6,-0.027275314294169867,-0.08432775876288177
2017-01-31,7,-0.021197428832902668,-0.06484578744960705
2017-02-28,7,-0.003433574633936261,-0.01746385076729747
2017-03-31,7,0.015693525366063738,0.081373073276089
2017-04-28,7,0.006432441860465116,0.03081204628842162
2017-05-31,7,-0.046067039182133306,-0.2432268600295578
2017-06-30,7,0.008338574720068907,0.04719921870826079
2017-07-31,7,0.008764710823733974,0.04344550614478861
2017-08-31,7,-0.03286656123133328,-0.18966990515405555
2017-09-29,7,0.05304031016919125,0.27847366209358815
2017-10-31,7,0.0053189668246445485,0.0205460996714385
2017-11-30,7,-0.03842603981752148,-0.1600508829940203
2017-12-29,7,-0.012508553038355918,-0.07059820278218565
2018-01-31,8,-0.0007224554648764883,-0.0033061283325616325
2018-02-28,8,0.035191572051327905,0.16150298222658951
2018-03-29,8,-0.009364339923267885,-0.051858796177134604
2018-04-30,8,-0.059913305164319246,-0.2990754274063068
2018-05-31,8,-0.009905150193798447,-0.05016257421015212
2018-06-29,8,0.014413844384707287,0.06786865894723754
2018-07-31,8,-0.03238350327653997,-0.1496706646990938
2018-08-31,8,0.019958239286163127,0.10458057671152333
2018-09-28,8,0.06825359652052596,0.28498451477911746
2018-10-31,8,0.021279644720524404,0.07737031347647567
2018-11-30,8,0.03490380959939195,0.17287643734413607
2018-12-31,8,-0.09440040387374461,-0.3264758883281322
2019-01-31,9,-0.017009445689179246,-0.10522503059568825
2019-02-28,9,-0.018473108658008653,-0.14428985154099674
