date,n_assets,sdf_payoff,mean_realized_return,mean_target_return,mean_expected_return,rms_pricing_error,rms_forecast_error,rms_reconstruction_error,mean_factor_effective_n,mean_abs_factor_weight,fold
2012-02-01,1918,0.9999725818634033,0.024127542972564697,3.7291747467804726e-10,0.0004846354422625154,0.08320607990026474,0.08306336402893066,0.0832301527261734,1894.5712890625,0.0005213764379732311,7
2012-03-01,1927,0.9994558691978455,-0.015517398715019226,8.351455083044357e-10,0.0008814983302727342,0.08827423304319382,0.08807194977998734,0.0878237634897232,1907.73193359375,0.0005189413786865771,7
2012-04-01,1912,0.9992749691009521,-0.07521536201238632,-7.481754771276883e-09,0.0008177253766916692,0.1014973521232605,0.10086553543806076,0.09910385310649872,1899.162841796875,0.0005230125389061868,7
2012-05-01,1876,1.0003238916397095,0.03958704695105553,-4.702285227864422e-09,0.0007363178883679211,0.08732262998819351,0.08872468769550323,0.08598776906728745,1859.1142578125,0.0005330490530468524,7
2012-06-01,1905,0.9991766810417175,-0.011177321895956993,0.0,0.0002911583869718015,0.10558817535638809,0.10575573891401291,0.10557572543621063,1890.381591796875,0.0005249343812465668,7
2012-07-01,1885,1.0007747411727905,0.03549399971961975,-5.059280216990203e-10,0.0002328045229660347,0.10199109464883804,0.10283976048231125,0.1003846600651741,1874.470947265625,0.000530503923073411,7
2012-08-01,1903,1.0003353357315063,0.03197047486901283,-1.3154992650754593e-09,0.0005347865517251194,0.07545527815818787,0.0769580751657486,0.07421112060546875,1885.21533203125,0.0005254860734567046,7
2012-09-01,1917,0.9984399676322937,-0.019680220633745193,-2.1143014006241856e-09,0.0012736419448629022,0.0926913246512413,0.092576764523983,0.09253471344709396,1901.66015625,0.0005216483841650188,7
2012-10-01,1917,1.000059962272644,0.014904624782502651,3.731120135075372e-10,0.0022881340701133013,0.089319609105587,0.0901983380317688,0.08804413676261902,1899.03271484375,0.0005216483841650188,7
2012-11-01,1924,1.000573992729187,0.030941706150770187,3.71754543815328e-10,0.0016263591824099422,0.07364820688962936,0.07505562901496887,0.07087837904691696,1907.281005859375,0.0005197505233809352,7
2012-12-01,1929,1.0001460313796997,0.06313459575176239,-2.935428289330133e-10,0.0019790378864854574,0.08770719170570374,0.08867646008729935,0.0866786390542984,1914.2857666015625,0.000518403307069093,7
2013-01-01,1968,1.0001397132873535,0.01271313801407814,9.691811797551964e-10,-0.00021602693595923483,0.0885668471455574,0.0887317806482315,0.08796478062868118,1960.962890625,0.0005081300623714924,8
2013-02-01,1954,1.0000944137573242,0.046548135578632355,6.405821428856484e-10,-0.0003999585460405797,0.07770977169275284,0.07790481299161911,0.07692991197109222,1946.165771484375,0.0005117707187309861,8
2013-03-01,1975,1.0001457929611206,0.0006653429591096938,-1.2071826871462576e-10,-0.0003746438887901604,0.08979399502277374,0.09017359465360641,0.08944889158010483,1967.448486328125,0.0005063291173428297,8
2013-04-01,2005,0.9989293813705444,0.04605453461408615,2.1998722843363794e-09,-0.0002677096053957939,0.0983765572309494,0.09845033288002014,0.09808196127414703,1996.05322265625,0.0004987530992366374,8
