fold,decile,mean_return,fitted_mean_return,pricing_error
4,1,-0.0061216074735460585,0.00035426638260990865,-0.006475873856155967
4,2,0.0014359574348122722,-4.338283561665579e-05,0.001479340270428928
4,3,0.004405158518130785,-0.000316030038023111,0.004721188556153896
4,4,0.005752160616442601,-0.0001817384100990184,0.005933899026541619
4,5,0.004582300166193892,-0.00025007383266166777,0.00483237399885556
4,6,0.008244112146002998,-0.00029580677663553753,0.008539918922638536
4,7,0.006988092335224401,-0.00023416838258533202,0.007222260717809733
4,8,0.009871877508729898,-0.0001715879868231904,0.010043465495553088
4,9,0.010308636445240276,-0.00022587746971088133,0.010534513914951157
4,10,0.0039441419606724365,-0.00019655522995734711,0.004140697190629783
5,1,-0.022387874078932262,0.0022311518272314164,-0.024619025906163678
5,2,-0.01812816372216401,0.0015656162795219225,-0.01969378000168593
5,3,-0.007522247570607497,0.000987840766655929,-0.008510088337263426
5,4,-0.005051416597517574,0.0006667450031226112,-0.005718161600640185
5,5,-0.002387452252473469,0.0006985550766302277,-0.003086007329103697
5,6,-0.0009269145564237795,0.0006472799985169295,-0.001574194554940709
5,7,-0.004897500847238564,0.0006308960659015009,-0.005528396913140065
5,8,-0.006489435286854288,0.0008191583213157813,-0.007308593608170069
5,9,-0.003892273398611871,0.0006768205833258116,-0.004569093981937682
5,10,-0.0026372465981481102,0.0004288033790737344,-0.0030660499772218446
6,1,0.03084419793277669,-0.008049651899286766,0.038893849832063454
6,2,0.026840915847585963,-0.0039010887501444522,0.030742004597730417
6,3,0.02396862314031536,-0.003042542807826112,0.027011165948141472
6,4,0.023666382160394312,-0.0022828341407121052,0.025949216301106418
6,5,0.023422458362022423,-0.0022406519490722554,0.025663110311094677
6,6,0.020473556559212517,-0.0016785173456483188,0.022152073904860837
6,7,0.0210874762153182,-0.002570716400478491,0.023658192615796693
6,8,0.023746669969572975,-0.0021332463778339326,0.025879916347406908
6,9,0.02514168313594742,-0.002046090903832874,0.027187774039780295
6,10,0.02772421995634733,-0.002089945751182074,0.029814165707529403
7,1,0.01903789820034647,-0.004363155652165316,0.023401053852511785
7,2,0.016424376473770468,-0.0030566243772699522,0.01948100085104042
7,3,0.013589448837532098,-0.001788062473386906,0.015377511310919004
7,4,0.019109471893255625,-0.0017496783686716357,0.02085915026192726
7,5,0.018998264473949766,-0.0011097684985292536,0.02010803297247902
7,6,0.0182807994088478,-0.0011273451031274682,0.019408144511975266
7,7,0.015180666810924151,-0.001024051112547358,0.016204717923471508
7,8,0.014122902903868133,-0.0010111367751193573,0.01513403967898749
7,9,0.017044626988654516,-0.0011764204615952118,0.018221047450249727
7,10,0.014295342619345187,-0.0007768663822824456,0.015072209001627633
8,1,-0.0018993363415734075,-0.015195063656020406,0.013295727314446998
8,2,0.0009703785630977314,-0.011278652160568338,0.012249030723666069
8,3,0.0019512946545514494,-0.009169293626355515,0.011120588280906963
8,4,-5.514730572646805e-06,-0.008347277214046675,0.008341762483474027
8,5,-0.0015073670387294898,-0.008073493168776428,0.006566126130046938
8,6,-0.0013836111627102132,-0.007616857197823542,0.0062332460351133285
8,7,-0.0009823865192597227,-0.007509517442693951,0.006527130923434228
8,8,-0.0029051077758080086,-0.007674420088395945,0.004769312312587936
8,9,0.0013585553140806003,-0.007333190352004029,0.00869174566608463
8,10,-0.0029567072860655734,-0.007657521430854154,0.004700814144788581
9,1,0.003075760058693249,-0.008694979918918006,0.011770739977611255
9,2,0.0055286596296735225,-0.004721820369068016,0.010250479998741537
9,3,0.009995643024608114,-0.002129122904178012,0.012124765928786127
9,4,0.010848802506767877,-0.0022893555721131007,0.013138158078880979
9,5,0.00990328566196509,-0.002102282233283648,0.012005567895248738
9,6,0.011363427488599975,-0.0009166383980511976,0.012280065886651172
9,7,0.007470580640618718,-0.0010248434314273584,0.008495424072046075
9,8,0.011516516915142272,-0.0008329912834091366,0.012349508198551408
9,9,0.009602981931865583,-0.0008031141858336723,0.010406096117699255
9,10,0.014755191679987961,0.00013109500563494508,0.014624096674353016
10,1,0.07561259487960076,-0.060976038118037354,0.13658863299763813
10,2,0.0431005357973013,-0.038772201630773245,0.08187273742807455
10,3,0.037479555212461914,-0.028971799371758384,0.0664513545842203
10,4,0.0271528397629822,-0.025611336840697805,0.052764176603680005
10,5,0.022724784486811464,-0.021900616871702618,0.04462540135851408
10,6,0.0221185639416398,-0.020242747289436962,0.04236131123107677
10,7,0.01648963600712099,-0.02157226332558174,0.03806189933270273
