latent_factor,state_variable,correlation,nobs
sdf_factor_06,vxo_mean,-0.09205444301319275,181
sdf_factor_01,fred_dgs10,-0.0916120404601886,222
sdf_factor_01,fred_t10y3m,-0.09126392972907013,222
sdf_factor_06,bls_avg_hourly_earnings,-0.09108486844812431,224
sdf_factor_08,term_spread_10y_1y,0.09105863280654704,129
sdf_factor_05,vix_realized_state_vol,-0.09050977645560918,227
sdf_factor_01,vxo_eom,0.09010874541214874,181
sdf_factor_02,vxd_mean,-0.08959981999453295,227
sdf_factor_04,hml,0.08946481165620648,227
sdf_factor_06,fred_t10y3m,0.0891351035090396,222
sdf_factor_08,sdf_lambda_02,-0.08810632521252013,227
sdf_factor_05,vxn_mean,-0.08619080911459753,227
sdf_factor_01,vix_realized_state_vol,0.08603468680351996,227
sdf_factor_08,mktrf,-0.0860225837866904,227
sdf_factor_07,sdf_lambda_06,-0.08593911473487402,227
sdf_factor_03,fred_indpro_yoy,-0.08552966740423673,227
sdf_factor_01,vxd_eom,0.08543330902592078,227
sdf_factor_06,sdf_lambda_06,0.08442269922018712,227
sdf_factor_03,fred_10y2y_spread,0.0839604456123529,222
sdf_factor_01,vix_eom,0.08395031857130908,227
sdf_factor_01,aaa,-0.0838117236012798,227
sdf_factor_01,vix_change,0.08378654956490575,227
sdf_factor_07,sdf_lambda_03,-0.08361508473660616,227
sdf_factor_05,mktrf,0.08354642156215247,227
sdf_factor_07,vxo_eom,-0.08272492465036156,181
sdf_factor_05,vxd_mean,-0.08263928233961403,227
sdf_factor_01,vxn_realized_state_vol,0.08206798244151403,227
sdf_factor_08,bls_unrate,0.08075965678130759,227
sdf_factor_08,fred_unrate,0.08075965678130759,227
sdf_factor_06,mswp1,-0.08047616945829321,129
sdf_factor_07,vix_realized_state_vol,-0.07998232926665633,227
sdf_factor_01,sdf_lambda_01,0.07924149482951476,227
sdf_factor_08,vxd_mean,0.07923865984039291,227
sdf_factor_08,vxn_mean,0.07912781033463548,227
sdf_factor_02,vix_mean,-0.07891846378995052,227
sdf_factor_06,smb,-0.07725434976564179,227
sdf_factor_05,fred_cpi_yoy,-0.0772287874155001,227
sdf_factor_05,bls_cpi_u_yoy,-0.07682570548413617,227
sdf_factor_03,vxo_eom,0.07629007940614682,181
sdf_factor_02,smb,-0.0757990206136617,227
sdf_factor_02,sdf_lambda_03,-0.07516245990864148,227
sdf_factor_05,fred_dgs2,0.07436045223556073,222
sdf_factor_06,bls_cpi_u_yoy,-0.07381153262114419,227
sdf_factor_06,fred_cpi_yoy,-0.07376994067908794,227
sdf_factor_05,vxn_realized_state_vol,-0.0734787077827437,227
sdf_factor_03,fred_indpro,-0.07285767900470926,227
sdf_factor_02,sdf_lambda_04,0.07219209900833905,227
sdf_factor_08,vix_realized_state_vol,0.07176453401484575,227
sdf_factor_01,term_spread_10y_1y,-0.07169677679075354,129
sdf_factor_07,sdf_lambda_08,0.07164841136792328,227
sdf_factor_06,vxn_mean,-0.07139663428102963,227
sdf_factor_01,fred_indpro,0.07131840297678903,227
sdf_factor_03,mktrf,-0.07076369017059916,227
sdf_factor_03,mswp10,0.07069787836559996,129
sdf_factor_06,fred_cpi,-0.07053588808317436,227
sdf_factor_07,vxo_realized_state_vol,-0.07049165279860502,181
sdf_factor_06,bls_cpi_u,-0.07023213895525118,227
sdf_factor_08,vix_mean,0.06963821898891598,227
sdf_factor_03,vxo_realized_state_vol,0.06948797263485752,181
sdf_factor_03,sdf_lambda_07,0.06937572720334358,227
sdf_factor_03,fred_dgs2,0.06932210261645808,222
sdf_factor_01,vix_log,0.06905778920846072,227
sdf_factor_01,bls_avg_hourly_earnings,0.06831219824551321,224
sdf_factor_08,vxo_eom,0.06828248671275133,181
sdf_factor_06,vxo_eom,-0.06795577009672953,181
sdf_factor_05,vix_mean,-0.06781490713570192,227
sdf_factor_05,vxd_realized_state_vol,-0.06739447499356341,227
sdf_factor_05,vxo_eom,-0.06727809795734445,181
sdf_factor_08,sdf_lambda_05,-0.06714487561714644,227
sdf_factor_08,term_spread_10y_ff,0.0668386738451161,129
sdf_factor_01,fred_cpi,0.06679989344961423,227
sdf_factor_01,bls_cpi_u,0.06665565494769737,227
sdf_factor_08,vxn_realized_state_vol,0.06654356731648792,227
sdf_factor_06,fred_nfci,0.06630053361950977,227
sdf_factor_06,fred_indpro,-0.06539821635163917,227
sdf_factor_01,baa,-0.06536936313652376,227
sdf_factor_07,mswp10,0.06498986179824054,129
sdf_factor_01,fred_cpi_yoy,0.06494228600038264,227
sdf_factor_01,sdf_lambda_02,-0.06490654896774445,227
sdf_factor_03,sdf_lambda_05,0.06425714754328136,227
sdf_factor_07,sdf_lambda_01,0.06333507253597448,227
sdf_factor_03,vix_eom,0.06321172014639928,227
sdf_factor_01,vxd_realized_state_vol,0.06306079389450668,227
sdf_factor_07,cma,-0.0629895871563791,227
sdf_factor_01,bls_cpi_u_yoy,0.06280516217109378,227
sdf_factor_06,vxd_mean,-0.06261330202306967,227
sdf_factor_07,bls_unrate,-0.06234433565418219,227
sdf_factor_07,fred_unrate,-0.06234433565418219,227
sdf_factor_01,ltiit,-0.06217862216986945,227
sdf_factor_05,fred_nfci,0.0617794341690158,227
sdf_factor_06,vxn_eom,-0.061672930235806785,227
sdf_factor_06,vxd_eom,-0.06139180350674763,227
sdf_factor_05,vix_log,-0.06114945911451436,227
sdf_factor_03,smb,0.06089774009070418,227
sdf_factor_03,vxn_eom,0.060234047352686726,227
sdf_factor_01,term_spread_10y_ff,-0.060114580289527375,129
sdf_factor_02,vxd_eom,-0.059692401272525175,227
sdf_factor_02,vxo_eom,-0.05948817677793705,181
sdf_factor_08,sdf_lambda_01,0.058698363155183925,227
sdf_factor_02,vxn_eom,-0.05863158044263722,227
sdf_factor_05,vxd_eom,-0.05829810614526459,227
sdf_factor_02,fedfunds,0.05827348316281453,227
sdf_factor_05,sdf_lambda_02,-0.05785378040530446,227
sdf_factor_03,term_spread_10y_1y,0.05728952086706307,129
sdf_factor_03,sdf_lambda_06,-0.05596126358976267,227
sdf_factor_02,vix_eom,-0.05508732469549681,227
sdf_factor_02,umd,-0.05410915580719631,227
sdf_factor_02,fred_dgs2,0.053622647426185784,222
sdf_factor_06,bls_unrate,0.05361311204021456,227
sdf_factor_06,fred_unrate,0.05361311204021456,227
sdf_factor_08,rmw,-0.05345466853297366,227
sdf_factor_04,vix_change,-0.053287398856781694,227
sdf_factor_05,vxn_eom,-0.052332786342227815,227
sdf_factor_02,term_spread_10y_1y,-0.052191204386779835,129
sdf_factor_03,vxd_eom,0.052095701272350525,227
sdf_factor_02,ltiit,0.05169118628818228,227
sdf_factor_02,rf,0.05150179189049395,227
sdf_factor_03,rmw,-0.0514608052265203,227
sdf_factor_04,mktrf,0.05139726710923164,227
sdf_factor_03,vix_mean,0.051147586721284485,227
sdf_factor_02,vix_log,-0.050541521084026986,227
sdf_factor_06,sdf_lambda_04,0.050343847331538044,227
sdf_factor_08,vxd_realized_state_vol,0.050293470129950044,227
sdf_factor_05,fred_indpro,-0.05026330728372513,227
sdf_factor_05,fred_indpro_yoy,-0.049347735819184405,227
sdf_factor_05,sdf_lambda_07,0.04898316313076482,227
sdf_factor_08,mswp1,-0.04873491233190499,129
sdf_factor_08,vix_change,0.048187357116857676,227
sdf_factor_05,vix_eom,-0.04814507552126944,227
sdf_factor_03,vxo_mean,0.04788002532870692,181
sdf_factor_07,sdf_lambda_05,-0.04771921846799203,227
sdf_factor_05,fedfunds,0.04662327572180618,227
sdf_factor_06,hml,0.04583793777177629,227
sdf_factor_05,rf,0.04533718725147603,227
sdf_factor_03,vix_log,0.04511345973368812,227
sdf_factor_06,vix_eom,-0.045067646523082656,227
sdf_factor_02,aaa,0.04506030992646231,227
sdf_factor_02,sdf_lambda_06,-0.04459476892372344,227
sdf_factor_03,sdf_lambda_08,0.044215522384198555,227
sdf_factor_07,umd,0.0439017582405064,227
sdf_factor_05,bls_avg_hourly_earnings,-0.04374960944881281,224
sdf_factor_05,vix_change,-0.04362024037869615,227
sdf_factor_01,umd,0.042761278883813245,227
sdf_factor_07,sdf_lambda_04,-0.04250173970644656,227
sdf_factor_07,fred_10y2y_spread,-0.0421420890515635,222
sdf_factor_03,vxn_mean,0.04195790947977499,227
sdf_factor_07,vxd_realized_state_vol,-0.04192166294360995,227
sdf_factor_07,vxn_realized_state_vol,-0.0416926175781548,227
sdf_factor_05,mswp10,-0.0416698385907312,129
sdf_factor_01,bls_unrate,-0.04126089109965779,227
sdf_factor_01,fred_unrate,-0.04126089109965779,227
sdf_factor_06,vix_mean,-0.0412265618845565,227
sdf_factor_06,baa_aaa_spread,0.04095119275313636,227
sdf_factor_07,fred_t10y3m,-0.04018244435401171,222
sdf_factor_04,baa,0.03941789631416748,227
sdf_factor_08,fred_dgs10,-0.03940858470280684,222
sdf_factor_02,sdf_lambda_07,0.039321182625575095,227
sdf_factor_04,sdf_lambda_06,-0.03904620975966536,227
sdf_factor_05,term_spread_10y_ff,0.03895550090800047,129
sdf_factor_03,umd,-0.03862478711626106,227
sdf_factor_04,umd,-0.038205726813119324,227
sdf_factor_02,term_spread_10y_ff,-0.037821887817200216,129
sdf_factor_03,vxd_mean,0.03737848357867803,227
sdf_factor_02,fred_nfci,0.03691797238325287,227
sdf_factor_02,baa,0.03687637039880133,227
sdf_factor_06,sdf_lambda_01,-0.03618744425690908,227
sdf_factor_06,vix_log,-0.03600715741771146,227
sdf_factor_04,fred_10y2y_spread,-0.03561782347429524,222
sdf_factor_05,fred_cpi,-0.03499614448145336,227
sdf_factor_05,bls_cpi_u,-0.034698494287338205,227
sdf_factor_01,mswp1,0.03417908471942358,129
sdf_factor_08,sdf_lambda_03,-0.03402396271011971,227
sdf_factor_08,vxd_eom,0.03387943266039453,227
sdf_factor_04,smb,0.03387303119689199,227
sdf_factor_05,smb,-0.032794194129392426,227
sdf_factor_07,rmw,0.032496035571013965,227
sdf_factor_03,cma,0.03186836259785708,227
sdf_factor_04,ltiit,-0.03181612450434413,227
sdf_factor_02,fred_indpro,-0.031776187603755036,227
sdf_factor_08,sdf_lambda_07,-0.03165675785126682,227
sdf_factor_04,sdf_lambda_07,-0.030995500004007116,227
sdf_factor_08,fred_t10y3m,-0.030900514261003938,222
sdf_factor_03,fedfunds,0.02990460010803685,227
sdf_factor_08,vxn_eom,0.029640610034672787,227
sdf_factor_08,fred_dgs2,-0.028255863723680472,222
sdf_factor_02,bls_cpi_u,-0.02725009904254291,227
sdf_factor_02,fred_cpi,-0.027024357543700403,227
sdf_factor_04,term_spread_10y_ff,-0.0269820749832035,129
sdf_factor_05,mswp1,-0.026663641752961584,129
sdf_factor_02,fred_unrate,-0.026658275139874812,227
sdf_factor_02,bls_unrate,-0.026658275139874812,227
sdf_factor_08,baa,-0.02660429701354274,227
sdf_factor_08,vix_eom,0.02659311805123522,227
sdf_factor_04,bls_unrate,0.025473529279557164,227
sdf_factor_04,fred_unrate,0.025473529279557164,227
sdf_factor_04,sdf_lambda_02,0.025454042240186384,227
sdf_factor_06,fred_dgs2,0.02544961155549831,222
sdf_factor_08,umd,0.024978880523395117,227
sdf_factor_01,sdf_lambda_03,-0.02493662278737554,227
sdf_factor_05,fred_t10y3m,0.024709554419858466,222
sdf_factor_01,sdf_lambda_04,0.024645758255416293,227
sdf_factor_07,smb,0.024624157930043872,227
sdf_factor_02,fred_10y2y_spread,0.023997099799228542,222
sdf_factor_01,rf,0.023748084839376987,227
sdf_factor_03,rf,0.023320761414499902,227
sdf_factor_04,bls_avg_hourly_earnings,0.02237615705015313,224
sdf_factor_08,baa_aaa_spread,-0.022374146521892905,227
sdf_factor_04,fred_dgs10,-0.022208790381670236,222
sdf_factor_08,aaa,-0.021952984473799807,227
sdf_factor_04,aaa,-0.021467220067776856,227
sdf_factor_05,bls_unrate,-0.021236718453073847,227
sdf_factor_05,fred_unrate,-0.021236718453073847,227
sdf_factor_02,hml,-0.020434621414168467,227
sdf_factor_08,fred_nfci,-0.02021664297668305,227
sdf_factor_02,bls_avg_hourly_earnings,-0.02006934253526625,224
sdf_factor_06,fedfunds,0.01892612333333566,227
sdf_factor_06,fred_indpro_yoy,0.018331397773564982,227
sdf_factor_01,fedfunds,0.018128254817295544,227
sdf_factor_03,mswp1,0.017482209381643223,129
sdf_factor_08,vix_log,0.01618894042602353,227
sdf_factor_04,fedfunds,-0.015901269531527977,227
sdf_factor_03,sdf_lambda_04,-0.01587995801173422,227
sdf_factor_04,rf,-0.015229117488021417,227
sdf_factor_04,sdf_lambda_03,0.014724972528699337,227
sdf_factor_06,mswp10,-0.014568854701712488,129
sdf_factor_08,fred_cpi_yoy,-0.014356866641562565,227
sdf_factor_08,bls_cpi_u_yoy,-0.014283413832599776,227
sdf_factor_07,hml,0.013240372542935192,227
sdf_factor_01,sdf_lambda_06,0.013098672153118197,227
sdf_factor_08,sdf_lambda_06,0.011819470265098211,227
sdf_factor_01,hml,0.011743041972002259,227
sdf_factor_07,baa_aaa_spread,-0.011155843243337923,227
sdf_factor_01,baa_aaa_spread,0.010561480818973925,227
sdf_factor_02,fred_cpi_yoy,-0.010437036882736117,227
sdf_factor_06,sdf_lambda_07,0.010412693536153275,227
sdf_factor_02,rmw,0.010034572053103187,227
sdf_factor_08,rf,0.009904654463596774,227
sdf_factor_06,rf,0.009817342738112017,227
sdf_factor_03,bls_unrate,0.009672189724627406,227
sdf_factor_03,fred_unrate,0.009672189724627406,227
sdf_factor_08,ltiit,-0.009433188314417616,227
sdf_factor_02,bls_cpi_u_yoy,-0.009274112171333372,227
sdf_factor_06,sdf_lambda_05,0.008876206517088935,227
sdf_factor_07,fred_nfci,-0.008852914465830256,227
sdf_factor_04,rmw,-0.008552678816494623,227
sdf_factor_08,bls_avg_hourly_earnings,-0.008490004050816142,224
sdf_factor_01,fred_dgs2,0.008337247449710221,222
sdf_factor_01,fred_indpro_yoy,-0.00827797755352277,227
sdf_factor_02,fred_indpro_yoy,0.007923633014513867,227
sdf_factor_05,umd,-0.006508414314415658,227
sdf_factor_06,cma,0.006337307730454071,227
sdf_factor_08,fred_indpro,-0.006260307486598971,227
sdf_factor_04,fred_dgs2,0.006161326675960767,222
sdf_factor_07,fred_cpi_yoy,0.00604957032757469,227
sdf_factor_01,smb,-0.005987206216488459,227
sdf_factor_03,sdf_lambda_03,0.005785094526561444,227
